policy_id,customer_id,policy_type,coverage_amount,start_date,end_date,premium_amount
1,101,Life,500000.0,2022-01-01,2023-01-01,1000.0
2,102,Health,100000.0,2022-02-01,2023-02-01,1200.0
3,103,Auto,75000.0,2022-03-01,2023-03-01,800.0
4,104,Life,300000.0,2022-04-01,2023-04-01,900.0
5,105,Health,150000.0,2022-05-01,2023-05-01,1100.0
6,106,Auto,100000.0,2022-06-01,2023-06-01,700.0
7,107,Life,700000.0,2022-07-01,2023-07-01,1500.0
8,108,Health,200000.0,2022-08-01,2023-08-01,1300.0
9,109,Auto,50000.0,2022-09-01,2023-09-01,600.0
10,110,Life,400000.0,2022-10-01,2023-10-01,1200.0